Time,J1,J2,J3,J4
00:00,27,16,47,22
00:03,23,13,61,33
00:06,32,17,44,19
00:09,27,-,48,33
00:12,19,24,65,21
00:15,32,18,52,21
00:18,18,21,55,15
00:21,29,13,49,19
00:24,26,19,42,22
00:27,21,12,53,24
00:30,30,11,48,28
00:33,17,11,53,18
00:36,32,9,56,22
00:39,30,14,38,22
00:42,30,19,34,18
00:45,27,6,43,20
00:48,28,14,45,20
00:51,23,8,35,15
00:54,27,20,38,13
00:57,21,11,36,16
01:00,29,11,27,14
01:03,28,17,40,19
01:06,27,18,50,17
01:09,24,9,50,16
01:12,14,15,33,21
01:15,22,5,23,14
01:18,23,13,42,21
01:21,18,15,47,14
01:24,27,12,36,11
01:27,24,8,33,11
01:30,14,11,27,12
01:33,18,12,33,14
01:36,22,14,27,14
01:39,26,14,35,23
01:42,19,7,29,13
01:45,29,9,28,17
01:48,12,19,25,18
01:51,22,11,26,10
01:54,13,6,24,16
01:57,19,11,17,8
02:00,12,5,27,16
02:03,25,5,13,13
02:06,15,7,30,17
02:09,13,9,17,15
02:12,14,8,25,13
02:15,22,8,13,12
02:18,17,14,21,13
02:21,24,15,11,6
02:24,16,3,21,19
02:27,5,4,16,5
02:30,12,6,10,4
02:33,7,9,15,12
02:36,10,3,12,5
02:39,11,4,19,14
02:42,18,5,16,7
02:45,12,3,9,10
02:48,7,4,14,7
02:51,16,4,17,10
02:54,7,5,12,4
02:57,11,2,9,4
03:00,7,4,9,4
03:03,9,1,14,4
03:06,13,5,7,5
03:09,9,3,15,5
03:12,7,1,7,9
03:15,8,5,14,3
03:18,11,2,11,5
03:21,6,4,9,5
03:24,11,4,14,5
03:27,10,3,7,6
03:30,8,8,12,7
03:33,5,4,12,4
03:36,5,4,3,-
03:39,7,2,11,9
03:42,11,3,9,5
03:45,6,8,7,5
03:48,13,3,6,8
03:51,10,2,9,6
03:54,8,3,13,7
03:57,10,5,11,4
04:00,13,6,72,8
04:03,8,4,64,4
04:06,9,3,61,8
04:09,9,3,57,10
04:12,12,2,62,5
04:15,11,4,57,4
04:18,10,4,37,3
04:21,7,1,37,6
04:24,9,1,22,6
04:27,4,1,5,2
04:30,4,3,35,7
04:33,16,3,32,6
04:36,5,2,29,2
04:39,9,2,31,6
04:42,9,1,51,1
04:45,5,2,50,2
04:48,8,-,48,3
04:51,3,3,51,1
04:54,8,2,50,5
04:57,6,2,53,5
05:00,10,4,55,7
05:03,11,5,30,7
05:06,16,5,35,8
05:09,9,3,42,8
05:12,13,4,12,5
05:15,8,3,45,6
05:18,6,3,43,6
05:21,8,3,41,3
05:24,5,3,47,9
05:27,9,2,39,1
05:30,5,2,40,7
05:33,9,3,44,5
05:36,11,1,42,5
05:39,5,3,46,6
05:42,8,3,42,6
05:45,21,2,11,6
05:48,10,5,13,10
05:51,17,1,10,7
05:54,6,2,16,8
05:57,21,3,69,16
06:00,7,4,56,2
06:03,9,6,60,11
06:06,4,2,57,6
06:09,7,4,54,10
06:12,10,4,62,7
06:15,15,3,61,9
06:18,7,5,62,9
06:21,10,6,56,4
06:24,21,6,64,13
06:27,25,5,20,9
06:30,21,12,21,9
06:33,14,4,19,9
06:36,21,7,30,13
06:39,17,6,45,18
06:42,24,10,77,14
06:45,46,13,49,14
06:48,45,17,66,23
06:51,39,10,71,26
06:54,28,6,44,14
06:57,27,9,62,27
07:00,25,18,61,25
07:03,36,19,48,25
07:06,38,19,64,26
07:09,26,14,49,31
07:12,34,12,48,23
07:15,39,16,43,32
07:18,34,11,64,29
07:21,33,12,47,38
07:24,30,16,46,21
07:27,36,17,45,28
07:30,32,12,50,23
07:33,35,15,59,36
07:36,36,13,62,33
07:39,20,13,44,27
07:42,28,12,73,32
07:45,28,16,77,27
07:48,46,15,59,29
07:51,45,17,75,24
07:54,50,21,81,29
07:57,49,14,97,41
08:00,30,10,82,34
08:03,43,13,57,38
08:06,49,16,97,29
08:09,40,15,83,26
08:12,47,16,70,33
08:15,46,9,52,37
08:18,56,15,86,29
08:21,46,18,60,42
08:24,43,29,70,28
08:27,37,15,65,30
08:30,42,14,75,32
08:33,42,19,61,35
08:36,45,18,62,34
08:39,44,23,82,39
08:42,43,25,66,41
08:45,33,19,69,32
08:48,41,18,57,32
08:51,47,21,89,32
08:54,52,20,77,29
08:57,41,16,88,27
09:00,47,20,82,36
09:03,32,21,64,30
09:06,32,18,94,23
